Locutor;Locución;Sarcasmo
archer;No, era por saber si tenía que llevar un saco con el símbolo del dólar;Si
archer;A quién le importa? No, lo pregunto de verdad;No
archer;Pero voy a dar por hecho que ha pedido refuerzos;No
malory;¿Por qué no te callas? Tengo que pensar;No
slater;Sí, sospechábamos un poco;No
kyle;Esto es ridículo. ¿En serio saldrémos a jugar contra los Norths así vestidos?;No
archer;Francamente no;No
ray;David, Key, Keith, Kenny;No
kyle;"""Y si lo llevas a uno de esos lugares de empeño. En cada dos cuadras hay un sujeto con un cartel que dice: """"compramos oro"""". Mucha gente lo hace""";No
archer;No, Lana. ¡qué va!;No
ray;Y como es lógico voy a guardar mi pistol en la caja fuerte hasta que acabe la partida;No
abuelo;Oh, para mí? Oh, dios mío, allí está, el viejo Patches con su caríta de felizidad. Gracias Villy, significa mucho para mí. Villy, esa corbata que usas, no sé de dónde la sacaste pero es supergay;No
stan;Lo siento, mi papá está tomándose el sarcasmobol profesional muy en serio;No
todos;No;No
madre de stan;¿No ves qué este deporte le hizo a su padre? ¿Acaso quieres terminar como él?;No
malory;Estaba allí en el cochecíto, me puse una copa, llamó mi peletero, por cierto, me roba descaradamente. Llamé a la imigración para intentar que le deportaran a su padre. Me puse otra copa, pero no quedaba hielo, así que, ¡ah!;No
animador;Jackson atrapa el balón. Está corriendo por la meta y uuh.;No
animador;El marcador está cero a cero, mientras los Stines avanzan a los Broncos;No
cheryl;¿Dónde está qué? ¿Te han tirado la cadena?;No
cyril;Aha, porque necesitas ayuda con la niña y no quieres llamar a Lana y vienes a pedirnos ayuda;No
archer;Qué?;No
butters;¿Eh?;No
archer;Lana, tranquila, no beberé en tu ausencia y tomo esto muy en serio;No
guardia;Y su identificación, por favor;No
butters;La primera línea cubrirá los huecos. Díle que te gustan sus uniformes. Clyde, Token, abracen a esos jugadores;No
criminal;Por favor, le han disparado;No
cheryl;Pásalo bien y ojalá que sufras de violencia homófoba;No
archer;Sí llevo pipa, hombre no;No
archer;Sí, Lana, en serio. ¿Por qué mi madre no es apta para criar a AJ?;No
slater;Llévanos solo él y prestame una camisa;No
dependiente de oro;Es la mejor, es muy listo. Se aprovecha de mis precios bajos;No
archer;Es que estás de su lado? Ese cabrón ha amenazado a hacer daño a AJ. Que ahora que lo pienso es la culpable de todo esto...;No
randy;Sí, sí, ya nos cansamos de que nuestros niños se golpeen en el campo y se lastimen. Hagámos el sarcasmobol el deporte oficial en todas las escuelas;Si
lana;Eh, ya está bien;No
archer;Me ha puñado literalmente por la espalda;No
archer;Literalmente, por la espalda, puñalada;No
abuelo;Shelly tiene trece? Claro, claro, cielos. Villy, alguna vez te conté que tuve un pastor escocés llamado Paties?;No
lana;¿Para criar a mi hija?;No
stan;Es la misma corbata que tenía el Rey Enrique V;No
randy;Se acabó. Debería irme a casa y olvidarme de lo que este deporte me ha hecho. ¡Que miles de personas juegen el sarcasmobol y terminen como yo!;Si
randy;Vamos gente, veamos a esa regla de las patadas y regresemos al futbol;No
cyril;Así es justo cómo murió Bret;No
criminal;No, mis compañeros lo inventaron para que Slater me llevara a usted y que usted me trajera aquí;No
todos;Sí;No
archer;Te lo dije;No
conway;Y pierde unos kilítos;No
animador;Randy, primero permiteme agradecerte por tomar un juego que amamos y convertirlo en una pesadilla. ¡Muy bien hecho!;No
stan;Cielos, mi abuelo pagó seis mil dólares para algo que casi no tiene valor algúno. Cómo, cómo puede ocurrir algo semejante?;No
archer;Vale;No
archer;Vale, sí, ten cuidado. ;No
cheryl;Y ha venido un tal señor Ley para verla;No
kyle;No te preocupes, tiene que haber otro lugar donde compren oro cerca;No
archer;Al suelo, mire, ¿qué estás? Uy, estaba haciendo un simulacro. Les estaba poniendo en prueba, buen trabajo.;No
cartman;Hagámoslo. Stan, abrochame el sostén;No
lana;Y calla. ¿Y qué operación está llevando a cabo CIA en Argentina?;No
lana;¿Y por qué nosotros? ¿No es mejor que quede en casa en la CIA?;No
sujeto de comprar oro;"""Por qué no les gritan a los encargados de fundir el oro? El refrán hindu dice: """"quien lo fundió, lo generó""""""";No
lana;No, les maquillaron los de la CIA que les queda muy realista;No
conway;Como una mujer despechada, ¿te acuerdas de que te despeché un poco la última vez que nos vimos?;No
cartman;Es cierto;No
criminal;Caray, conduce de puta pena;No
archer;Esta Lana, mira que montar esto solo para que le llamara y pidiera ayuda. Y Slater con sangre falsa. Qué pena da el pobre;No
malory;¿Dónde está?;No
ray;Y bien, qué está pasando allí;No
criminal;Claro que sí. Puedo cogerla?;No
conway;Mmm, pero estás guapa, más relleníta de lo que recuerdo;No
lana;Conway, coge lo que necesites, me figuro que unas pilas nuevas, y vamos a sacarte da aquí.;No
krieger;No, no dispares. Allí está el bebé;No
cheryl;Haber cruzado el río grande?;Si
stan;Sí, aquí hay uno;No
lana;Vagamente. Pero si lo que quieres es venganza, ¿por qué no me matas?;Si
archer;Pero hay otras mesas;No
criminal;Oye, oye, tienes que escuchar, no sé qué pasa aquí, pero tienes que darme la niña.;No
randy;Corten, perdón, voy de nuevo. Intento decir que deberíamos tener diez ligas de sarcasmobol y así todos pueden jugar. ¡Ah, mierda!;Si
criminal;Voy a pedir refuerzos;No
lana;¿Podríamos dejarlo ya, por favor?;No
padre de butters;Oh, bien, Butters. Es la brújula de amistad. Cuando hay amigos tuyos en el área, tu pequeña brújula indica donde están. Apunta hacia arriba, porque Jesús es tu amigo;No
archer;No tengo el urdu tan fresco como pensaba;No
archer;Joder, en fin, dudo que el robot tenga Bourbon y no me aptece tres en uno con cola, al menos que no haya, literalmente, nada más que beber;No
criminal;Eso dije yo;No
randy;A caso no ven. Ya que estamos en esto, deberíamos reemplazar el balón por un globo. Y quién atrape el globo correrá mientras el resto de los jugadores se abrazan;No
slater;En tu casa;No
slater;Esperé que ya haya pasado. Creía que iban a reformar este sitio;No
criminal;Ha contratado a un canguro, hola soy Maní;No
lana;Oh, no porque bastante tenías con tirarte a acero, luego a cristal o;No
criminal;Mucho, venga, ahora meta la secuencia de datos...;No
lana;Me busco a una canguro;No
butters;Chicos, no entiendo el futbol. Por eso, creo que soy mal jugando;No
archer;Después de puñalarme, literalmente, por la espalda;No
criminal;Quiero decir que esa es la única puerta;No
stan;No, en esto no. ¿Qué hay del interior cremoso que nos hablaste? Esa que creemos que llevas dentro y que hace que seamos mejor jugadores del mundo;No
butters;Este gran juego no se basa en jugadas. Se basa en camradería y en la compasión. Y cuando miro en este vestidor, veo algunos de los chicos más amables y compasíbles que he conocido. Tú Ken, eres más amable que cualquiera y Clyde, tú, abrazas mejor que cualquiera en este campo de juego;No
animador;Oh, parece que algunos ex jugadores de NFL están entrando al campo. Está Maritin Gregors por seguridad y el defensor Jim Harrys. Parece que lleva los pantalones en tobillos. Alguién debería avisárselo. Y el excelente Mike Tetfield que parece estar horneando un pastel imaginario;Si
kyle;No, es quien lo negó, lo proveyó;No
ray;Está en la caja fuerte!;No
ray;Qué ha dicho?;No
pam;No me jodas, Mani;No
slater;Te pido que no sigas;No
malory;Oh, por Dios bendíto;No
kenny;Cierrate la boca, eres un idiota;No
conway;Ah, lo siento, da igual;No
randy;Gracias, doctor, muchas gracias;Si
archer;Es un actor?;No
espectador;¡Duro con ellos! ¡Amor con compasión!;Si
butters;Sé positivo, Stan. Chicos, abracense, abracense. ¿Bien, qué está ocurriendo aquí?;No
archer;¿De dónde te sacas las veinte copas?;No
lana;No;No
lana;Por qué iba a traer cerveza?;No
archer;Archerizar este plan;No
stan;Así, claro, como él exagera cada enfermedad que tiene;No
padre de butters;Lo hablarémos cuando crezcas;No
stan;Deberían a avergonzarse por la gente que explotan en nuestro país. Cómo se atreven a aprovecharse de los menos afortunados?;No
abuelo;Oh, parece que te divertiste mucho;No
slater;Eh?;No
dependiente de oro;No, no, no, me jode;No
lana;Mira;No
lana;Archer, cierra el pico. Vas a ponerte bien;No
archer;Y no le hagas daño;No
randy;Stan, Stan;No
cartman;Oh, ah... Tres dólares;No
archer;Te iba a ofrecer una copa, pero solo tengo tequila y licor de café;No
archer;Sí;No
stan;Este juego es estúpido. No tengo ni idea de cómo salir al campo y ser amable con los del otro equipo;No
cartman;No, a ellos les joden las mujeres asiáticas;No
archer;No;No
randy;No entiendo cómo alguien puede jugar a esto con sinceridad;No
cyril;Y yo no lo he visto ni hoy;No
archer;Claro que lo vamos a hablar luego, te lo prometo;No
archer;En mi casa no, y por cierto. Qué hacéis en ella? Y quién es este?;No
archer;Pues, como la vuelvas a asustar, vas a ver cómo te disparan a ti;No
butters;Sí, pero no puedo ser el capitán. Soy malo en todo;No
cyril;Iba a decir excesivo;No
cartman;Durante siglos, los alquimistas han intentado crear la fórmula para crear oro. Quien pudiera crearla se volvería rico. Y ahora esta equación química está frente a sus ojos;No
slater;¿Tenéis el disco?;No
stan;Sí, abuelo;No
archer;Qué tontería de conversación;No
criminal;Se lo diré de todas formas, lo estoy usando para colocar mi programa de espía ultramoderna en la sede de CIA para que la inteligencia paquistaní sepa todo lo que hacen en tiempo real;No
criminal;A mí o a él?;No
archer;Vale, harémos lo siguiente;No
guardia;Por su puesto, coronel Cal.. Espere, Lando Calrissiano;No
animador;El entrenador Martín se acerca para decírselo, pero parece que Jackson cree que está en su auto regresando a casa. Mientras esperamos nos alegra poder recibir el comisionato de NFL, Roger Goodell. Comisionato, mucho aburato para conmociones este año en la NFL. ¿Cómo maneja la liga todo esto?;No
randy;Sí, el otro equipo tenía una delantera tan ofensiva que me asustó mucho;Si
criminal;Buena suerte con las cartas sangrientas;No
archer;No, no podemos. Quiero saber por qué deseas que no sea madre;No
butters;Claro, Eric;No
lana;No se compra, hombre, se;No
archer;Esta vez han podido con el pobre Lando. Estoy acabado;No
stan;Abuelo?;No
pam;¡Eh! ¿Es mucho pedir durante la maldíta jordana laboral dos sesiones de ochenta minutos sin interrupciones para cagar?;No
empresario;Oye, niño, si tienes un problema con el sistema, estás en un lugar equivocado. Aquí solo fundimos lo que nos envían de los lugares de compra de oro;No
conway;No, es.. blindado;No
archer;Ya si estuviera;No
archer;Vale;No
archer;Y sigo sin ver por qué tengo yo que cargar del pibe;No
stan;Lo sé, habría deseado que me hubiera regalado el dinero en vez de esta corbata;No
conway;Pues, sácale los ojos, ¿vale?;No
archer;Ojalá siguiera entre nosotros. Podría haber parado algunas balas. Por Dios! En fin, van ocho incluida la que está en mi hombro, así que;No
cartman;Eso es porque es muy gruño y negativo para creerlo. Necesita una bebida deportiva que eleve sus niveles de humanidad y bondad;No
archer;Cago en la leche. Ray, pistola!;No
lana;Bueno, Conway, ganas este salto;No
pam;Yo soy notaria;No
slater;Por qué...? Da igual;No
randy;Oh, sí soy el que inventó el sarcasmobol. No hay manera de que sepa cómo entrenarlos;Si
abuelo;Ves eso, Villy? Es una esmeralda en oro de cuatorce quilates. Crees que le gustaría algo así a tu hermanita?;No
criminal;Sí ya la tengo. Qué bien!;No
criminal;Esos tíos. Qué imbéciles! No?;No
cheryl;Parece que quiere ocultarlo;No
krieger;Es de Paquistán?;No
malory;Lo dije;No
conway;No me jodas;No
lana;Esta bolsa es de ropa, esa de pañales, en la nevera hay leche materna que excuso de tí;No
lana;Mira;No
conway;Sí, sí, la mamá, no él jodía;No
butters;Y luego cuando intenten agradecernos por los clavos, les decirémos que no se agradezca porque hicimos lo correcto, y luego les sonreirémos;No
sujeto de comprar oro 4;Así es, quien lo rimó, nos timó;No
stan;Tiene idea de como se sentiría comenzar a perder sus recuerdos? No, porque ninguno de sus familiares está sufriendo de alzheimer, pues yo sí;No
archer;Qué? Por qué?;No
lana;Desde luego estás conmocionado;No
pam;Oye, oye, venga, seguro que, esperad, que no has secuestrado al bebé. ¿Pero de verdad en la buena?;No
archer;No señor Archer, ni hablar, no hasta que me lleve a la sede de ISIS para que pueda acceder al ordenador central;No
krieger;Para, estáte quieto, para;No
lana;Vamos a hablar de beber tres litros de mexicanos negors antes de conducir con tu hija y un actuante dentro;No
archer;Detrás de la barra, deja de gritar;No
criminal;No, gracias, no debería;No
conway;¿Y por qué tú y yo no nos líamos la última vez que trabajamos juntos?;No
todos;¡Sterling!;No
conway;Horatio Kane;No
malory;Y yo, pero alguien me traicionó, una aspirante cantante de Country mentirosa;No
conway;¿Su hija es tuya?;No
slater;Es Streling Archer, este es Baruk Ascani;No
pam;En Cánada funciona;No
madre de stan;En serio Randy, creo que este deporte le hizo algo de daño a tu cerebro;No
archer;Muy heróico, lo sé;No
ray;¿Tu sabes cómo eres? Si es alguien de aquí, seré yo;No
archer;Y quítate ese chisme tan ridículo;No
archer;En serio, bueno, como decía;No
krieger;No, esperad, el osíto está por aquí, o estaba. Os juro que… ¿Osíto?;No
vivian;Oooo... No lo recuerdo;No
butters;Y cuando el otro equipo intenta acercarse, tendrémos que hacer un esfuerzo, llegar a nuestro centro cremoso. Es el lugar que tenemos adentro en que se encuentra todo el amor y felizidad que debemos usar para ser los jugadores más amables y compasivos que el mundo haya visto. Y sabrán que no caemos tan fácilmente;No
butters;¿Qué, qué? ¿Oh? ¡Oh! ¡Papá! Volvió a ocurrir. Volvió a salirse mi cremosidad;No
criminal;Vamos es que no va armado, es lo que quiero decir;No
rondie;Caballeros, creo que confunden mi hospitalidad con debilidad. El precio es el precio, si quieren negociar, pueden hacerlo con mis socios;No
malory;Krieger, andabamos allí cuando fui a buscar hielo. Vamos al laboratorio de ese monstruo;No
cartman;¿Butters, tu cremosidad funcionará en otra persona?;No
dependiente de oro;Oro de cuatorce quilates, o sea cuatorce dólares al gramo en el mercado, tenemos unos cuatro grámos. Esto es una pérdida de tiempo. Puedo ofrecerte un burrito de seis capas por esto;No
randy;Lucen bien muchachos. ¡A patear culos!;Si
archer;¿Y cuándo? ¿Por qué no quieres hablar de ello, Lana?;No
archer;Estáis jugando al strip poker?;No
lana;¡Eh!;No
ray;Y por lo visto le va muy bien;No
cartman;Un momento, cuánto pagó por estas joyas?;No
cheryl;Haber lo dicho antes;No
lana;Porque estaré sin móvil, así que si ves que no eres capaz de ;No
animador;Bien amigos, estamos a la mitade de nuestra transmisión de hoy. Quieren aprovechar las ofertas? Llamen ya!;No
los dos;¡Dícelo a él!;No
cyril;Qué?;No
malory;El señor Slater;No
lana;¿Un poco? Nos mandaste a un… espera, nos seguiste hasta aquí;No
archer;Vaya, igual de ridículo;No
ray;Rondie, era el que estaba pensando;No
cheryl;Mal y en exceso;No
animador;Y con eso los Browns están listos para batir el balón contra los Broncos;No
archer;Ahora soy un verbo, Lana. Acepta la idea. Y de paso, cúbreme por favor;No
randy;Gente, escuchen todos. Hay algo que deben saber acerca del sarcasmobol, es un juego totalmente seguro, sí super seguro, es tan seguro que cada niño de país debería jugarlo;Si
criminal;Se ha ido?;No
slater;Pues, venga, subid atrás. Tengo un avión esperando;No
cyril;Pues ahora que lo dices, sí se le veía un poco nervioso;No
slater;Sí, Conway Stern. ¿Preguntas?;No
criminal;Pero creía que era algo racista;No
randy;Fue bueno, Payton, pero hay que mejorar;No
conway;¿De dónde? ¿Del coño de tu madre?;Si
archer;¿Cómo los llamas?;No
cyril;Tendríamos que habernos ido antes;No
cyril;No es el sueño improvisable?;No
todos;¡Conway Stern!;No
malory;Que las masticaras primero y se las escupieras en la boca;No
archer;Y ya estoy haciendo de canguro de que claramente sí es un bebé;No
archer;Porque es dónde se producen 80 % de los accidentes domésticos;No
cheryl;Creía que era la cuija;No
archer;Verás Slater. Cuando unos papás se quieren mucho...;Si
slater;Tecnología falsa que queríamos que China tuviera. Llevan años estudiando el propulsor de antimatéria;No
todos;Sí;No
lana;Eres un traidor, hijo de puta;No
archer;Pero te lo dije por tu bien;No
lana;A ti, te he quitado un punto porque Pam estaba dando a AJ salchichas para comer;No
criminal;Perdón es que he visto cómo dispararon a un tío;No
archer;No sé que le ocurrió, en fin, venimos a buscar unas cosas de la niña. Así que vamos a cogerlas. Maní?;No
malory;En los cojínes de sofá no he estado;No
animador;Y aquí están las maldítas animadoras de Denver;No
lana;De quién es esa pistola?;No
lana;No está mal te voy a poner un siete;No
criminal;Yo creo que lo he bordado;No
archer;Recordadme que si ese desgraciado no os mata a todos, lo haga yo;No
krieger;Pero;No
butters;Mi salchicha está dura como una flecha;No
criminal;Además dudo que hable mucho cuando le haya pegado un tiro en la cara;No
randy;Rayos, esto es genial, mi semana acaba de mejora mucho;No
randy;Oh, les encantará. Un deporte en donde solo importa la seguridad. ¿Por qué no le llamamos sarcasmobol?;No
pam;Y Woodhouse?;No
archer;¿Cómo es que sigues teniendo dos manos? ¡Hijo de puta!;No
kyle;Pero el gran juego contra ? este sábado;No
pam;Con usted, cuesta distinguir;No
lana;Espera, ¿Argentina no es un aliado nuestro?;No
krieger;Vale, os voy a explicar todo eso;No
malory;Por favor, es un esqueleto de bebé;No
archer;Idiotas, hijos de puta, conmigo está el presidente de Brasil y su esposa. Y mirad, aquí, sucia, sucia. Toda, todas las armas al suelo;No
lana;Hay que ver, qué generoso;Si
stan;No estamos siendo sarcásticos papá. ¿Es tan difícil creer que realmente disfrutamos de un juego sin violencia? ¿Te cuesta tanto creer que cuando Butters dice que la competitividad no puede estar compasiva, está siendo sincero?;No
randy;Perdón, perdón, momento, no debo ser sarcástico. Volveré a intentar. Escuchen todos, si permiten que sus hijos jueguen a sarcasmobol, son unos genios.;Si
jugador;¿Practicar un lunes? ¡Justo lo que yo quería hacer!;No
malory;Lana, supongo que era una analogía deportiva para hacernos de menos, pero aceptamos la misión. ¿Verdad Sterling?;No
slater;Y por qué tienes el botiquín en la barra;No
lana;Romperé el cristal;No
cartman;Amigo, es supergay;No
butters;Es cierto, Eric me dice que debería ser una mujer por lo malo que soy;No
stan;Alguien está en la cabeza de todo esto y alguien tiene que pagar. Solo estoy pidiendo una maldita retribución para mi maldito abuelo;No
archer;Literalmente;No
archer;Me figuro que mientras te mato a golpes literalmente, espera, sí literalmente, la mano gicante cambiará mi selector de medio cañero a mega cañero;No
archer;Pues claro, es un cíborg, seguro que la clave era...;No
lana;¿Hablando de qué?;No
lana;Joder, Archer;No
cheryl;De verdad en la buena;No
lana;¿Y no crees que parecemos récien salidos de un culebrón brasileño?;No
slater;Mejor me voy;No
cyril;¿Cómo se pierde un bebé?;No
archer;Por Dios, pibe, ya te oigo;No
stan;Cartman, eres idiota;No
dependiente de oro;Qué esmeralda le gusta;No
animador;Vivian, acabas de conseguir un regalo. Cómo es tu apellido, corazón?;No
dependiente de oro;De acuerdo, de siete capas, pero esto es mi mejor oferta;No
lana;Eso no es excusa... Espera esa es tu excusa?;No
archer;¿Más jóven?;No
anuncio;Busca ya una botella de la cremosidad de Butters;No
archer;¿Por qué no te callas?;No
archer;Dónde se comprará la leche materna?;No
archer;Y no es lo que quiero decir yo;No
criminal;Eres él que está desangrando;No
criminal;Es viernes por la noche. Por qué coño hay gente aqui todavía?;No
malory;Cyril, ponle a cría salvo;No
lana;Bueno, yo lo llamaría un éxito relativo;No
niño;Entonces, llamemos a ? para decirles que nos retiramos;No
malory;Idiota, todavía no come sólidos!;No
conway;No Kane con K sino;No
archer;Cómo dices?;No
malory;De la pequeña J, ha desaparecido;No
malory;¿Hmmm? ¡Oh!;No
malory;Sí, es muchísimo pedir;No
randy;Ah, bien hecho, árbitros del juego;Si
slater;Porque resulta que conocéis a la gente en cuestión. ¿Eh, le importa?;No
kyle;Y qué significa;No
lana;¿Qué misión? ¿Vender tecnología militar confidencial a los chinos?;Si
archer;Sí, Lana, ahora si tú me disculpas necesito atención médica con bastante urgencia, por tu culpa;No
butters;Estaba teniendo un sueño feliz con una chica y…;No
butters;Cuarenta y dos, rojo trece, pensamientos felices, felices para todos;No
rodger goodell;Como comisionado de NFL, me entusiasma ver que la joventud de nuestro país acepta el sarcasmobol sobre el futbol tradicional. ¿Pero, por qué detenernos allí? Como futbol es de bárbaros, nosotros deberíamos cambiar también. Le demos la bienvenida al nuevo entrenador de Broncos de Denver, Randy Marsh. Felicitaciones Marsh, buen trabajo;No
archer;¿Bien, qué haces aquí para empezar?;No
butters;Eh, oigan. No puedo creer lo que oigo. Practicamos y preparamos para este juego y quieren rendirse.;No
lana;Porque sí, imbécil, resumiendo nos has cerrado en la limusina de las narices;No
lana;Por lo menos Woodhouse, sí;No
criminal;Por qué me pegas?;No
dependiente de oro;Muy buen negocio. Es muy listo;No
archer;Oye, lo de la mamada;No
malory;Sea cuál sea la misión, ISIS está a la altura. Somos profesionales y;No
archer;Cállate, vosotros sacad a AJ y dejadme a mí el resto;No
slater;¿Que tenéis el disco?;No
archer;Vale;No
randy;¿Ah?;No
todos;Quién?;No
butters;Bien, Eric. Ya te dije que todos tenemos un interior cremoso de donde provienen todos los sentimientos de compasión y felicidad. ¿Tu papá nunca te lo dijo?;No
archer;Porque no quieres que beba licores;No
stan;No le gustan las joyas, abuelo;No
lana;¿Y no es porque te gusta llevar ese bigotón cutre?;No
archer;A ver, es que se lo voy a explicar;No
