Locutor;Locución;Sarcasmo
randy;Sube al auto, Stan. Nos vamos a la casa;No
pam;Á mí no me grite que no la he perdido. Intente volver sobre sus patos;No
archer;Seguro que no cuentan que también cambio pañales, así que...;No
slater;De acuerdo, pero porque yo quiero. Uno de nuestros, pues supongo que podemos llamarlos freelance.;No
las dos;¡Por Dios!;No
lana;Cago en la leche que no te voy a hacer una mamada;No
ray;Tengo tres en la saca, necesito cuatrao para el finde, me voy a Gaylandia;No
slater;Archer;No
randy;¿Cómo va todo? ¡Increíble! Nadie sale lastimado, los niños están aprendiendo lecciones valiosas sobre abrazos y seguridad, porque de eso se trata el mundo;Si
cartman;Sucios hijos de puta traicioneros. Quieren dejarme fuera?  Me robaron la fórmula y luego intentaron joderme. Butters!;No
archer;Por qué has hecho esto?;No
cheryl;El mexicano negro;No
cartman;No tengo papá;No
randy;Sí, es increíble estar en tu programa;No
pam;Así que haces improvisaciones;No
lana;Y si les pasa algo a ellos, viviría con mi hermana;No
archer;Pero cómo sabían dónde? Por Dios, habrá un topo en la CIA?;No
lana;A él, Slater dice que has estado genial;No
criminal;Porque así lo siguiente será mucho más fácil, bueno para mí;No
slater;Me voy;No
stan;Lo siento chicos, mi papá dice que está muy ocupado con los Broncos, no tiene tiempo;No
archer;Uno de los dos debería;No
archer;Coño;No
sujeto de comprar oro 2;Lo han entendido mal. Las joyas que venden en eso canales ni siquiera son las nuestras. Son de la India, del mismo lugar de qué proviene sus refranes;No
niño;Hola, cuánto me ofrecerías por esto?;No
lana;Pero cuando veas que no. Cállate! Esto es el número de centro de CIA de un empleado que vendrá a avisarme;No
archer;Aunque disfrutar no sea literalmente;No
padre de butters;¿Qué?;No
cartman;¿Sí, Saben qué? ¡Al carajo!;No
archer;Tienes razón. A lo mejor así te liberas de tu energía nagativa;No
krieger;Ya gracias, señor craqueoso;Si
malory;¿Y por qué, por qué la tienes tú?;No
cyril;Archer, eso es ;No
archer;Qué? Creía que significaba lo siento. Se ve que por eso aquella noche en el burdel de carrachi pasó de repente de malísima a mucho peor;Si
slater;Solo Slater;No
pam;No, es que aquí hace un calor de cojones;No
principal;De acuerdo;No
malory;Por favor, no se les pueda contar nada;No
stan;No?;No
randy;Eso es;No
criminal;A sí, eso tiene más sentido;No
lana;¿El qué da igual?;No
slater;Y cien grandes;No
archer;Cómo que no? Y se ve que es una bromista, pero le aseguro señor Archer, que todo esto es muy real;No
archer;Bueno, conmigo está el presidente de Brasil y su esposa grande;No
archer;Ahora se lo voy a decir a CIA y encontrarán el programa espía;No
krieger;No;No
cheryl;Creía que era en tono irónico;No
archer;No;No
malory;Bien dicho;No
lana;No, no, no puedes hacerte verbo, no te lo consiento;No
randy;Claro, le hizo algo a mi cerebro y ahora no puedo parar de ser sarcástico;Si
criminal;Y de dónde viene lo de piso franco, verdad? Tendrían que llamarlos pisos sin nombre. Pero aquí estoy a salvo, no?;No
archer;Hmm… vale, pero luego seguimos mi plan;No
malory;Y como le hayas tocado un solo pelo en su cabecíta castaña, te voy a;No
slater;Sí, ese Ley te da secas, una sola palabra y…;No
criminal;Cómo?;No
slater;Es Slater a secas y esperé. ¿Perdona, vamos a tener un problema tú y yo?;No
pam;Cago en la leche;No
lana;¿Y eso?;No
archer;Fue a apuntado con la pistola;No
archer;¿Tienes una hermana?;No
ray;La madre que te parió;No
criminal;A dónde creía que va? ;No
krieger;Espera, sí, literalmente;No
stan;No te preocupes, abuelo, yo me encragaré de esto;No
archer;Qué?;No
principal;¿Cómo va todo, entrenador?;No
lana;Para mí que fue Krieger;No
randy;Sí, sí, hagámos esto, la economía está en excusado, se acerca una elección importante, pero la prioridad de este país debe ser que el futbol sea más seguro;Si
cartman;Mis bolas, mis bolas, chúpalas;No
butters;Bien, papá. Lo guardaré para después.;No
criminal;Ya pero;No
guardia;Su identificación, coronel;No
criminal;Espere, espere;No
archer;Oh, por un momento creía que eráis Lana;No
médico;No se puede, lo siento, no hay investigaciones que determinen los efectos del sarcasmo al cerebro;No
médico;¿Sabe qué? Tengo un paciente de cincuenta años con alzheimer esperándome que no recuerda ni a su familia. Olvidémonos de él y concentrémonos en los supuestos efectos del sarcasmobol en el cerebro;Si
slater;Venga, Archer, 24 horas;No
cartman;Y ese brazaleta de tanzanita nueve noventa y cinco;No
stan;Ustedes son la escoria del mundo! Los ancianos son víctimas de canales de venta y ustedes descansan en sus mansiones y ganan billones!;Si
cyril;Nos vamos ya?;No
slater;Ni que te llamen a jugar en primera división jugando en la tercera;No
archer;Y el pago será?;No
malory;Y Krieger, te juro por tu madre, como vuelva a pillarte cerca de la niña;No
archer;Lo siento, no quiero confundirme;No
kyle;Esa es la equación para crear el oro?;Si
cartman;Puede ser. Necesitaré collares de oro, brazaletes de diamantes, y de esmeraldas;No
archer;Sabías que mentía;No
conway;Pues, tú sabrás;No
dependiente de oro;Son diamantes genuinos, verdad?;No
kyle;¿Eh, cómo es que no tenemos un entrenador?;No
butters;¡Muy bien! Disculpe, perdón. Ustedes lucen geniales. ¡Wow, este juego es genial!;No
archer;No, Lana. Mirad, como tenga que parar, nos van a matar a todos, así que;No
niño;Ya tenemos joyas de porquería. Ahora nos queda buscar ancianos;No
randy;Aubuelo, cuánto gastaste en eso?;No
criminal;Sobre todo hago improvisaciones;No
todos;Muy buenas;No
dependiente de oro;Muy buena elección. Es muy hermosa, miren es muy hermosa;No
stan;Sí amigo, es una réplica de la corbata del Rey Enrique V;No
archer;Cállaos los dos. Por qué aviso a navegantes? Esto es un bebé;No
randy;Oh, sí, porque tengo mucho tiempo para eso, Sharon. De hecho por qué no preparas una cena de cuatro platos para todos, mejor una cena de siete platos.;No
pam;Eres un monstruo;No
archer;Es broma, son sus tres días libres anuales. Suelen ser dos, pero le he dejado recuperar uno del año pasado;No
randy;Oh, sí, buena esa;Si
randy;Bien, aquí vamos. Miren como van a patear. Las jugadas especiales son las más importantes;No
animador;No lo recuerdas? Pero recuerdas el número de tu tarjeta de crédito?;No
dependiente de oro;Nueve dólares;No
periodista;Entrenador, victoria de tres a cero sobre los Stillers, se debe sentir un ganador;No
malory;¿La ibas a convertir en un robot?;No
slater;Vale te llamo cuando resuelven lo del topo para que lo lleves al nuevo piso franco;No
mr. mackey;Eh, salgan del campo, m'kay;No
lana;¿Te puñalara por la espalda, no harás ninguna tontería en plan de venganza cuando abra la puerta?;No
butters;No Eric, eres un jugador genial;No
cheryl;No soy abogada laboralista, pero;No
malory;¡Te voy a matar!;No
stan;Tiene razón, chicos, a partir de ahora eres el capitán Butters. ¡Llévanos a la victoria!;No
lana;Uh;No
archer;Está claro que él cree tener un plan así que, pues, venga ¡qué hable!;No
animador;Espera Vivian, te comunicamos con un representante y saludarás a él. Gracias por comprar con nosotros y felicitaciones por estos aretes faux de cuatorce quilates. A ese precio fue prácticamente un robo;No
archer;Coronel Calrissiano, si no te importa;No
criminal;Perdón?;No
butters;Mi cremosidad no sale todas las noches, pero va seguro de estar abastecido;No
stan;Entonces, fuimos a la India, que es hermosa, creo, nunca había ido. Y aprendimos que quien lo fundió, lo negó, lo rimó y de hecho lo proveyó;No
médico;Lo siento, señor Marsh, pero parece que hay un daño permanente;No
kyle;Nosotros ya no pateamos más;No
slater;Bueno, no vamos a poner un par de novatos sin experiencia en la lineación inicial de la amenaza…;No
ray;Pero, oiga, ¿son necesarias las armas? Lo pregunto totalmente en serio;Si
archer;Sí, tengo literalment miles de armas;No
archer;Y hablando de… cago la leche;No
randy;Papá, no deberías gastar el dinero de tu jubilación en frivolidades. Deberías guardarlo para cuando te mueras y ese dinero es nuestro;No
cilo;Amo el sarcasmobol. Es mucho mejor que el futbol. Me alegra que no haya violencia en los deportes. Y el sarcasmobol es más divertido para ver;Si
lana;De verdad?;No
archer;No, no para nada;No
animador;Mali tiene el globo. Está deciendo cosas muy lindas sobre el otro equipo. Malin se encuentra con G Woodly. Le entrega el globo a Woodly. El árbitro se acerca. El árbitro decide que es una notación. Espera, ahora se acerca otro árbitro y señala que es un punto en contra;Si
dependiente de oro;Qué buen ojo! Es muy listo! Se aprovecha de mí, le gusta joder a mujeres asiáticas?;No
conway;Lo iba a hacer, pero mujer, no soy un monstruo. Has sido madre;No
lana;¡Cállate! Conway era un traidor. Iba a vender el disco a los rusos;No
vivian;Eh 37 15;No
archer;No me jodas, Cyril!;No
archer;Sí es lo más lógico, claro, aunque seguro que son muy viejos;No
archer;Así, básicamente lo más cañero;No
lana;Oh, sí Archer, tengo una hermana;No
cartman;Ese niño nos quiere provocar. Dice cosas feas para que nos enojemos;No
rodger goodell;¡Bien hecho!;Si
malory;Una importante misión para ISIS que podemos. Enfestar de un chupe para hacer carambola;No
malory;Pero, qué te pasa?;No
kyle;Qué está haciendo?;No
archer;Ya, hola. Un mexicano negro?;No
archer;Krieger, los conductos de aire siguen con gas nervioso?;No
lana;¿Entonces, el plan de Conway no te parece innecesariamente complicado?;No
stan;Sí, no me gusta que se aprovechen de mí;No
todos;Sí;No
archer;Sí lo soy;No
jugador;¿Practicar un lunes luego de una victoria? ¡Genial!;Si
archer;Vamos a ver Baruk, no sé lo que se cuenta por allí, pero las barbaridades que hayas oído que he hecho, realmente te falta el contexto, porque prácticamente en toda mi vida, prácticamente hasta ahora mismo he sido más bien un medio cañero. Pero eso era antes, antes de que tuviera una hija, una hija que has amenazado...;No
cyril;Joder y qué hacemos?;No
abuelo;Amaba ese perro, me hico muy feliz siempre. Cuando murió no quise ponerme demasiado triste, porque pensé que siempre me quedaría el recuerdo de su caríta alegre. Yo no recuerdo cómo era su cara, Villy;No
archer;Todo tiene su lógica;No
stan;Quiero saber cuánto ofrece por esta corbata de oro y diamantes;No
randy;¡Sí, Sí, wohoo!;No
krieger;Esperad. No os ha parecido Archer un poco asustado?;No
archer;Bueno, de allí vamos, Conway, procura parecerse presidencia. Y Lana que parezcas eso, una señora, lo has gordado;No
archer;Tranquilo. No, joder, no tengo testamento;No
cartman;Me duelen los brazos... Levanta el puto cartél, esto es un negocio;No
kyle;No podemos;No
malory;Y ya que eres la única de aquí que odia a los niños;No
butters;¿Qué es sarcasmo y qué es esperma?;No
archer;Marchando una empanada familiar;No
las dos;¿La cabeza de quién?;No
archer;Lana, véte, AJ está en buenas manos. Sé lo que hago, he leído diez libros del club de las canguros;No
archer;Baruk?;No
krieger;Oblígame!;No
malory;Sterling, el señor;No
cyril;Ray. ¿Lo ves?;No
lana;Lando;No
slater;En fin, hasta que encuentren el topo y lo saquen, necesito que hagas canguro;No
archer;Seguro que sí, en algún momento, pero;No
archer;Qué coño pasa aquí?;No
randy;Vamos, dense palmadas en las espaldas;No
todos;Sí;No
animador;Bienvenidos a Rome, donde hablamos de sarcasmobol. No puedo esperar. No puedo esperar para hablar de sarcasmobol porque es tan interesante. Me acompaña el entrenador de los Broncos de Denver e inventor de sarcasmobol, Randy Marsh. Gracias por estar aquí Randy, estoy feliz de que estés en el programa.;Si
lana;Cómo, dónde está?;No
archer;Sí, pero dudo que;No
archer;No hasta que me tome este batido de mate y caña con una nube de tres en uno;No
archer;Un momento, dame eso, a mi señal me pondré a tío. Vosotros idiotas salid corriendo y buscad a Pam y AJ y ponedlas a salvo antes de que lleguen más jilibollas;No
lana;Oye, no te preocupes por AJ, ¿vale?;No
criminal;De mi primo, la que me diste no daba pego, y pensé que con una de verdad me metería más en el papel;No
archer;Para empezar, me ha disparado dos veces;No
conway;Es un archivo informático con la identidad verdadera de todos los agentes de CIA que operan en el centro de Sudamérica. Argentina lo usa para presionar y amenazar a contárselo a los rusos;No
archer;Y vosotros estabáis conchabados?;No
pam;No deberías qué?;No
mr. mackey;Sí, decidíamos que sin las patadas por la preocupación creciente de las conmociones, m'kay;No
rodger goodell;Bien. Ciertamente existen muchas estadísticas interesantes, Dan. Y estamos muy preocupados y esperando a ver si existe una relación directa entre futból y los traumas de cráneo;Si
archer;Oh, por favor, sabemos que es Buenos Aires;No
archer;No, en serio;Si
archer;Así mejor, que hay un bebé;No
malory;Está aquí, cabeza hueca;No
stan;Pero como puede salirse con la suya;No
criminal;Todavía tengo pistola;No
slater;Por transferencia, algún problema?;No
cyril;Vamos, básicamente si no os matáis unos a otros, es por falta de armas de fuego;No
archer;Eh, qué va! Solo esa frase!;No
archer;¿Lo dices en serio?;No
cyril;...Hay que fastidiarse;No
archer;Yo he bordado;No
archer;Ya os tendríais que haber ido, pero supongo que ya es tarde, así que...;No
empresario;"""Nosotros no somos los que negamos el verdadero valor de sus joyas, el refrán hindu en realidad dice """"mai pai pachata hai""""""";No
dependiente de oro;Bien, ocho dólares;No
lana;No, no, me refiero a armas de fuego, por ejemplo. Están bien guardadas?;No
lana;Se me ocurren unas cuántas más;No
butters;Me duelen los brazos;No
butters;Cielos, no sé, compañeros.;No
krieger;Me encantan las noches de poker;No
pam;Espera, qué hago? La azotea es el primer sitio donde buscarán;No
archer;A tu ridículo, qué es un tipi?;No
krieger;Y literalmente;No
cyril;Venga, no podemos tener una noche de poker sin violencia?;No
animador;Sí eso tiene mucho sentido, porque desde su promoción en el año 2006 ni siquiera tiene licencia para conducir;No
stan;Genial, no volveré a usarla;No
lana;Y dos de diez, porque eres un jilibollas de marca mayor;No
lana;¿Qué?;No
lana;¿Y puedes prometer que aunque Conway?;No
eric;Es cierto, Butters;No
archer;Sí;No
lana;¿Qué información? Slater dijo que te sacará;No
archer;Entonces, en la CIA, no hay ningún topo;No
archer;Lana, Lana, ¿es que tienes envidia de que soy un vergón?;Si
cartman;Esas corbatas están de moda, tiene suerte de tenerla;No
pam;Voy a darle yo violencia homófoba;No
stan;Butters, eres malo en todos los deportes;No
cartman;Qué dijo?;No
lana;Oh, pues, no te habría visto sopearte veinte copas y no haría falta para que te meneara;No
archer;Sí, idiota y también varias balas;No
malory;Lo sabía, en el fondo de mi corazón, sabía que era de los buenos;Si
pam;Méxicano negro?;No
archer;¿Quién eres? Eh espera, no recuerdo;No
stan;Sí puede hacerle pruebas;No
lana;Archer, hablo en serio;No
archer;Racista serás tú en todo caso si mexicano o negro te parecen insultos. De hecho, mi hija es multiracial;No
espectador;¡Wohoo! ¡Bien hecho, Cilo! ¡Es bueno verte en televisión!;Si
randy;Sí, me gustaría hablar sobre esta nueva regla que en el futbol prohibe las patadas;No
periodista;Creo, lo averiguarémos el domingo;No
criminal;Porcuro que no haya sorpresas;No
criminal;Estoy cargando;No
randy;Sí;No
cheryl;Porque te voy a molar los sesos en las escaleras de color;No
criminal;Eso es muy cañero;No
lana;La casa es segura para bebés?;No
niño;Sí, necesitamos más de tu jugo, Butters;No
cartman;"""Así es, los sujetes con carteles """"compramos oro"""" compran sus joyas de porquería. Sumamos con las canales de ventas y los dividimos por los viejos de mente, tenemos oro""";No
criminal;Solo es una de las muchísimas otras cosas que podría estar haciendo;No
archer;Sí o en un motél o en un váter por...;Si
pam;Eso pensaba si se lo adreza a quienquiera que lo haya preguntado;No
conway;Sí claro, y más después de las malpinas.;Si
archer;Ni tú. Me de igual que seaís el presidente y la primera dama de Brasilia de visita en América de buena voluntad para los sedes de los servicios de la inteligencia. El coronel Lando de las fuerzas especiales no trabaja para tí.  Aunque, la tapadera, la has clavado;No
madre de stan;Oh, Randy, está ocurriendo;No
stan;Ya no es una beba, abuelo, tiene trece;No
slater;Es que quieres cabrearme?;No
conway;El servidor está en una cámara acorazada y reforzada con acceso mediante una tarjeta y escáneo de retina, en el último piso del sede del servicio de inteligencia, que está fuertemente custodiada por todos sus puntos por fuerzas especiales con órdenes de disparar a matar a toda persona no autorizada.;No
butters;Señor Marsh, escuche, sé que se preocupa por su hijo, pero es un tremendo jugador. Hace buenas cosquillas, se ríe y tiene buen carácter;No
archer;Han montado todo esto? Que me dispararan, que le dispararan a Slater?;No
archer;Un aplauso para el pibe;No
abuelo;Es un buena idea;No
lana;Archer, no vayas como loco. ¿Qué coños estás haciendo?;No
principal;Antes de comenzar esta reunión de padres y maestros. ¿Alguién tiene un asunto pendiente?;No
lana;Acabo de hacer. A ver dónde está y cuál es la información;No
krieger;Esta es la vieja;No
randy;Sí lo pienso realmente. Ayúdame, Sharon, ayúdame;Si
stan;Y, pues existe un refrán hindu que dice, quien lo fundió, lo generó;No
stan;No, es un regalo que me dio mi abuelo, pero es tan costoso que me siento mal aceptarlo. Prefiero efectivo;No
mr. mackey;M'key, ¿le gustaría ser el entrenador de sarcasmobol de South Park?;No
archer;No estamos en el mismo bando?;No
randy;Sí, no, no. Bien hecho por usted;No
todos;Cómo dices?;No
animador;¿Es futbol seguro para sus hijos? Un padre preocupado, Randy Marsh, dice que no. Comenzó un movimiento para reformar el deporte y ya tiene cientos de seguidores.;No
animador;Lo cierto es que el juego es muy emocionante. Y un juego emocionante que terminó en cero a cero es un juego que quiero ver dos veces. Es un juego que quiero ver cuatro veces. Oye esto, quiero ver este juego cinco veces. Buena suerte el domingo. Seguro que será otro juego que querré ver dos veces. Oye esto, trece veces;Si
conway;Ya sabía que el pelo de ese le haría pasar por latino para colarnos dentro;No
ray;Pero bueno;No
profesor;¿Sostenes?;No
kyle;Rayos, esto es terríble;No
slater;En fin, lo llevaba un piso Franco de la CIA, pero nos estaba esperando varios de sus ex compañeros y he tenido que salir a tiros;No
lana;Espera, ¿ya te sabía la clave?;No
butters;No sé, nunca me había puesto en pensarlo;No
conway;Sí, hombre, todos lo veímos venir. ¡Suéltalas!;No
cheryl;¿Se refiere a mí?;No
cyril;Cuando cerramos, aquel tipo;No
archer;Desintoxicándose;Si
lana;O si por nos lo vuelve a jugar;No
malory;¿A quién iban a elegir si no?;No
archer;Y yo voto por madre y Woodhouse;No
archer;Nuestra hija, Lana;No
madre de stan;¿Randy, te lo piensas?;No
cartman;Estoy en el negocio de reventa, pero no consigo suficientes joyas de la gente, así que quiero comprar las suyas;No
cyril;Claro, él que fuma junto a la niña;Si
abuelo;Oy, es maravilloso, eso me pondría muy contento. Quiénes están?;No
cartman;No sé, creo que llevaría esa de allí;No
sharon;Es una hermosura, papá, gracias. Oy, mañana les toman los fotos escolares, también puede usarla;No
dependiente de oro;Bienvenidos a Tac Bell, les gustan nuestros doritos locos tacos?;No
archer;Uno, eran botellitas y dos me refiero a AJ. ¿Quién la va a cuidar si nos pasa algo a los dos?;No
archer;Te han puesto una mamada, ¿a qué sí? Y madre, Slater y CIA son idiotas por confiar en él. Pero me refería a volar en el mismo avión, Lana. Y si se llega a estrella;No
empresario;Quien lo negó, lo proveyó;No
criminal;Ah;No
malory;Y los demás, no veo la necesidad de contarle a Lana lo sucedido. ¿Entendido?;No
animador;Bienvenidos al juego inaugural la liga nacional de sarcasmobol. Hoy tendrémos el enfrentamiento entre los Broncos de Denver y los Riders de Oakland. ;No
conway;En el skymal;Si
criminal;Solo ese;No
randy;Mi hijo está jugando a ese juego ahora. Me alegra el corazón ver como usted se preocupa por su seguridad;Si
criminal;Y haberle contado lo que estoy haciendo ha sido claramente para despistar. Vale?;No
archer;Cuando nos pidió que vinieramos a rescatarte;No
padre de butters;Oh, bien. Está bien Butters. Recuerda lo que hablamos. A veces nuestro relleno cremoso de felicidad crece de noche y se rebalsa;No
madre de stan;¿Randy, no vas a acompañar tu familia en la cena?;No
cartman;¡A la mierda, creo que sí!;No
lana;¿Lo dices porque tienes hambre?;Si
cartman;Hola, Craig, como estás? Token apuesto que tu mamá tiene joyas que no le extrañará perder. Bebe, te ofrezco algo para tus diamantes falsos de tus aretes. Quizá pueda darte... Butters, qué carajos!;No
principal;¿Entonces, está féliz por todos esos cambios?;No
slater;Pero luego le rancasteis la mano, así que;No
cartman;¿Quién lo necesita? Tenemos a Butters;No
dependiente de oro;Pagué miles, y usted me jode;No
lana;Archer;No
archer;La virgen. ¿No escansará hasta que estemos todos esclavizados por SkyNet?;No
archer;Lana;No
animador;Demostrando lo que un padre preocupado puede lograr, Marsh terminó hablando frente de los líderes de Washington;No
kyle;Sí;No
malory;Pues, yo, como es lógico;No
archer;Hmm… Voy a decir: '¡No!' ¡Venganza!;No
cheryl;En Cánada no funciona nada;No
niño;No tenemos entrenador, Kyle;No
animador;Sí, no estoy seguro de que sea un pastel o quizá un pan. Pero definitivamente cree que está horneando algo;No
lana;No te queda azúcar;No
lana;Ya que estás aquí, ¿por qué no nos cuentas cuál es la misión?;No
pam;Y eso es algo muy sagrado para nosotras así que ¿le ayudarémos a buscar a la pequeña J? En unos cin… quince o cuarenta minutos;No
pam;No eran sólidas;No
dependiente de oro;Sí, pero los diamantes no me sirven para nada. Tendría que enviarlo a un fundidor que se ocupe de fundir el oro y quizás yo gane unos diez dólares;No
animador;Estó tendrá que resolverlo el grupo fuera del campo;No
criminal;Porque menudo imbécil, verdad?;No
butters;Como yo;No
archer;Sí;No
